,nsf_proposal_links_v1,skill,code,terms,preprocessed_terms
43,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,processing,"['D.3.4', 'B.4.1']","['Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators', 'Data Communications Devices', ' Processors**', ' Receivers (e.g., voice, data, image)**', ' Transmitters**']","['processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator', 'data communication device', 'processor', 'receiver eg voice data image', 'transmitter']"
44,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,control,['B.5.1'],"['Design', ' Arithmetic and logic units', ' Control design', ' Data-path design', ' Memory design', ' Styles (e.g., parallel, pipeline, special-purpose)']","['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose']"
45,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,development,['F.4.2'],"['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system']"
46,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,national science,['H.5.2'],"['User Interfaces (D.2.2, H.1.2, I.3.6)', ' Auditory (non-speech) feedback (NEW)', ' Benchmarking (NEW)', ' Ergonomics', ' Evaluation/methodology', ' Graphical user interfaces (GUI) (NEW)', ' Haptic I/O (NEW)', ' Input devices and strategies (e.g., mouse, touchscreen)', ' Interaction styles (e.g., commands, menus, forms, direct manipulation)', ' Natural language (NEW)', ' Prototyping (NEW)', ' Screen design (e.g., text, graphics, color)', ' Standardization (NEW)', ' Style guides (NEW)', ' Theory and methods', ' Training, help, and documentation', ' User-centered design (NEW)', ' User interface management systems (UIMS)', ' Voice I/O (NEW)', ' Windowing systems']","['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']"
47,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,polymer,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
48,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,united state,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
49,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,synthesis,['D.3.1'],"['Formal Definitions and Theory (D.2.1, F.3.1-2, F.4.2-3)', ' Semantics', ' Syntax']","['formal definition theory', 'semantics', 'syntax']"
50,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,material,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
51,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,discovery,['I.2.7'],"['Natural Language Processing', ' Discourse', ' Language generation', ' Language models', ' Language parsing and understanding', ' Machine translation', ' Speech recognition and synthesis', ' Text analysis']","['natural language processing', 'discourse', 'language generation', 'language model', 'language parsing understanding', 'machine translation', 'speech recognition synthesis', 'text analysis']"
52,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,design synthesis,"['B.2.1', 'B.3.2', 'B.6.1']","['Design Styles (C.1.1-2)', ' Calculator**', ' Parallel', ' Pipeline', 'Design Styles (D.4.2)', ' Associative memories', ' Cache memories', ' Interleaved memories**', ' Mass storage (e.g., magnetic, optical, RAID) (REVISED)', ' Primary memory', ' Sequential-access memory**', ' Shared memory', ' Virtual memory', 'Design Styles', ' Cellular arrays and automata', ' Combinational logic', ' Logic arrays', ' Memory control and access**', ' Memory used as logic**', ' Parallel circuits', ' Sequential circuits']","['design style', 'calculator', 'parallel', 'pipeline', 'design style', 'associative memory', 'cache memory', 'interleaved memory', 'mass storage eg magnetic optical raid revised', 'primary memory', 'sequentialaccess memory', 'shared memory', 'virtual memory', 'design style', 'cellular array automaton', 'combinational logic', 'logic array', 'memory control access', 'memory used logic', 'parallel circuit', 'sequential circuit']"
53,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,material unique,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
54,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,solid state,['I.3.5'],"['Computational Geometry and Object Modeling', ' Boundary representations', ' Constructive solid geometry (CSG)**', ' Curve, surface, solid, and object representations', ' Geometric algorithms, languages, and systems', ' Hierarchy and geometric transformations', ' Modeling packages', ' Object hierarchies', ' Physically based modeling', ' Splines']","['computational geometry object modeling', 'boundary representation', 'constructive solid geometry csg', 'curve surface solid object representation', 'geometric algorithm language system', 'hierarchy geometric transformation', 'modeling package', 'object hierarchy', 'physically based modeling', 'spline']"
55,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,property,['I.2.9'],"['Robotics', ' Autonomous vehicles (NEW)', ' Commercial robots and applications (NEW)', ' Kinematics and dynamics (NEW)', ' Manipulators', ' Operator interfaces (NEW)', ' Propelling mechanisms', ' Sensors', ' Workcell organization and planning (NEW)']","['robotics', 'autonomous vehicle new', 'commercial robot application new', 'kinematics dynamic new', 'manipulator', 'operator interface new', 'propelling mechanism', 'sensor', 'workcell organization planning new']"
