,researcher,skill,code,terms,preprocessed_terms
3146,"Lessner , Susan M.",focus vascular,['H.5.2'],"['User Interfaces (D.2.2, H.1.2, I.3.6)', ' Auditory (non-speech) feedback (NEW)', ' Benchmarking (NEW)', ' Ergonomics', ' Evaluation/methodology', ' Graphical user interfaces (GUI) (NEW)', ' Haptic I/O (NEW)', ' Input devices and strategies (e.g., mouse, touchscreen)', ' Interaction styles (e.g., commands, menus, forms, direct manipulation)', ' Natural language (NEW)', ' Prototyping (NEW)', ' Screen design (e.g., text, graphics, color)', ' Standardization (NEW)', ' Style guides (NEW)', ' Theory and methods', ' Training, help, and documentation', ' User-centered design (NEW)', ' User interface management systems (UIMS)', ' Voice I/O (NEW)', ' Windowing systems']","['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']"
3147,"Lessner , Susan M.",use transgenic,"['H.3.7', 'H.5.4']","['Digital Libraries (NEW)', ' Collection (NEW)', ' Dissemination (NEW)', ' Standards (NEW)', ' Systems issues (NEW)', ' User issues (NEW)', 'Hypertext/Hypermedia (I.7, J.7) (NEW)', ' Architectures (NEW)', ' Navigation (NEW)', ' Theory (NEW)', ' User issues (NEW)']","['digital library new', 'collection new', 'dissemination new', 'standard new', 'system issue new', 'user issue new', 'hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new']"
3148,"Lessner , Susan M.",new blood vessel growth,"['I.5.1', 'C.1.3']","['Models', ' Deterministic**', ' Fuzzy set', ' Geometric', ' Neural nets', ' Statistical', ' Structural', 'Other Architecture Styles', ' Adaptable architectures', ' Analog computers (NEW)', ' Capability architectures**', ' Cellular architecture (e.g., mobile) (REVISED)', ' Data-flow architectures', ' Heterogeneous (hybrid) systems (NEW)', ' High-level language architectures**', ' Neural nets', ' Pipeline processors (NEW)', ' Stack-oriented processors**']","['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural', 'architecture style', 'adaptable architecture', 'analog computer new', 'capability architecture', 'cellular architecture eg mobile revised', 'dataflow architecture', 'heterogeneous hybrid system new', 'highlevel language architecture', 'neural net', 'pipeline processor new', 'stackoriented processor']"
3149,"Lessner , Susan M.",use experimental,"['H.3.7', 'H.5.4']","['Digital Libraries (NEW)', ' Collection (NEW)', ' Dissemination (NEW)', ' Standards (NEW)', ' Systems issues (NEW)', ' User issues (NEW)', 'Hypertext/Hypermedia (I.7, J.7) (NEW)', ' Architectures (NEW)', ' Navigation (NEW)', ' Theory (NEW)', ' User issues (NEW)']","['digital library new', 'collection new', 'dissemination new', 'standard new', 'system issue new', 'user issue new', 'hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new']"
3150,"Lessner , Susan M.",together vascular,['D.2.1'],"['Requirements/Specifications (D.3.1)', ' Elicitation methods (e.g., rapid prototyping, interviews, JAD) (NEW)', ' Languages', ' Methodologies (e.g., object-oriented, structured) (REVISED)', ' Tools']","['requirementsspecifications', 'elicitation method eg rapid prototyping interview jad new', 'language', 'methodology eg objectoriented structured revised', 'tool']"
3151,"Lessner , Susan M.",together vascular surgeon greenville hospital,['D.2.1'],"['Requirements/Specifications (D.3.1)', ' Elicitation methods (e.g., rapid prototyping, interviews, JAD) (NEW)', ' Languages', ' Methodologies (e.g., object-oriented, structured) (REVISED)', ' Tools']","['requirementsspecifications', 'elicitation method eg rapid prototyping interview jad new', 'language', 'methodology eg objectoriented structured revised', 'tool']"
3152,"Lessner , Susan M.",method reduce,['G.1.8'],"['Partial Differential Equations', ' Domain decomposition methods (NEW)', ' Elliptic equations', ' Finite difference methods (REVISED)', ' Finite element methods', ' Finite volume methods (NEW)', ' Hyperbolic equations', ' Inverse problems (NEW)', ' Iterative solution techniques (NEW)', ' Method of lines', ' Multigrid and multilevel methods (NEW)', ' Parabolic equations', ' Spectral methods (NEW)']","['partial differential equation', 'domain decomposition method new', 'elliptic equation', 'finite difference method revised', 'finite element method', 'finite volume method new', 'hyperbolic equation', 'inverse problem new', 'iterative solution technique new', 'method line', 'multigrid multilevel method new', 'parabolic equation', 'spectral method new']"
3153,"Lessner , Susan M.",ferry road,['I.4.7'],"['Feature Measurement', ' Feature representation (NEW)', ' Invariants', ' Moments', ' Projections', ' Size and shape', ' Texture']","['feature measurement', 'feature representation new', 'invariant', 'moment', 'projection', 'size shape', 'texture']"
3154,"Lessner , Susan M.",progression use,['D.2.3'],"['Coding Tools and Techniques (REVISED)', ' Object-oriented programming (NEW)', ' Pretty printers', ' Program editors', ' Reentrant code**', ' Standards', ' Structured programming (NEW)', ' Top-down programming (NEW)']","['coding tool technique revised', 'objectoriented programming new', 'pretty printer', 'program editor', 'reentrant code', 'standard', 'structured programming new', 'topdown programming new']"
3155,"Lessner , Susan M.",artery wall,['J.5'],"['ARTS AND HUMANITIES', ' Architecture (NEW)', ' Arts, fine and performing**', ' Fine arts (NEW)', ' Language translation', ' Linguistics', ' Literature', ' Music**', ' Performing arts (e.g., dance, music) (NEW)']","['art humanity', 'architecture new', 'art fine performing', 'fine art new', 'language translation', 'linguistics', 'literature', 'music', 'performing art eg dance music new']"
