nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Arindam Biswas,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Avlokita Agrawal,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Gaurav Raheja,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harshit Sosan Lakra,"['application', 'department', 'financial support', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Mahua Mukherjee,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhjot Singh Chani,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,E Rajasekar,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ram Sateesh Pasupuleti,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saptarshi Kolay,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shubhajit Sadhukhan,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Smriti Saraswat,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sonal Atreya,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Tina Pujara,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Uttam Kumar Roy,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,V Devadas,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jaydev Dabas,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Millie Pant,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajan Arora,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
