nsf_proposal_links_v0,researcher_name,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,0.55
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,0.55
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,0.575
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Arindam Biswas,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Avlokita Agrawal,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Gaurav Raheja,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harshit Sosan Lakra,0.4
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Mahua Mukherjee,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhjot Singh Chani,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,E Rajasekar,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ram Sateesh Pasupuleti,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saptarshi Kolay,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shubhajit Sadhukhan,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Smriti Saraswat,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sonal Atreya,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Tina Pujara,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Uttam Kumar Roy,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,V Devadas,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jaydev Dabas,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Millie Pant,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajan Arora,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ashwani Kumar Sharma,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Bijan Choudhury,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Debabrata Sircar,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Deepak Sharma,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,P Gopinath,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harsh Chauhan,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Srinivas Kiran Ambatipudi,0.425
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Krishna Mohan Poluri,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Maya S.Nair,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,N K Navani,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Partha Roy,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Poonam Choudhary,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhat Kumar Mandal,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pranita P Sarangi,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pravindra Kumar,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prince Tiwari,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,R. P. Singh,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ramasare Prasad,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ranjana Pathania,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sanjoy Ghosh,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saugata Hazra,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shailly Tomar,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shri Ram Yadav,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Soma Rohatgi,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sachin Suresh Tiwari,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jitin Singla,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajesh Kumar,0.55
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Akhil Upadhyay,0.55
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,0.55
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.625
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.6
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,0.575
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ram Sateesh Pasupuleti,0.625
