nsf_proposal_links_v0,researcher,pseudo_skills
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shailly Tomar,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shri Ram Yadav,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Soma Rohatgi,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sachin Suresh Tiwari,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Jitin Singla,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Rajesh Kumar,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Akhil Upadhyay,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Arindam Biswas,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Avlokita Agrawal,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Gaurav Raheja,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Harshit Sosan Lakra,['design']
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Mahua Mukherjee,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Prabhjot Singh Chani,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,E Rajasekar,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Ram Sateesh Pasupuleti,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Saptarshi Kolay,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Shubhajit Sadhukhan,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Smriti Saraswat,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Sonal Atreya,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Tina Pujara,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Uttam Kumar Roy,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,V Devadas,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Jaydev Dabas,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Millie Pant,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Rajan Arora,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Ashwani Kumar Sharma,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Bijan Choudhury,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Debabrata Sircar,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Deepak Sharma,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
