,nsf_proposal_links_v1,skills
81,https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm,"{'biomaterials', 'material state', 'chemistry', 'physic', 'development', 'solid state', 'property', 'fundamental understanding', 'area', 'soft matter', 'material system', 'machine learning', 'statistical mechanic', 'polymer', 'learning', 'electronic photonic', 'polymeric material', 'molecular dynamic', 'method used', 'soft material', 'broad spectrum', 'material soft', 'material', 'dynamic', 'modeling'}"
82,https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'directorate engineering', 'information science', 'service', 'security', 'science engineering', 'energy'}"
83,https://www.nsf.gov/pubs/2017/nsf17600/nsf17600.htm,{'year'}
84,https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm,{'general'}
85,https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm,"{'control', 'united state', 'engineering', 'discovery', 'industry', 'material', 'development', 'synthesis characterization', 'novel design', 'material unique', 'processing', 'property', 'synthesis', 'fundamental understanding', 'lead new', 'design synthesis'}"
86,https://www.nsf.gov/pubs/2017/nsf17578/nsf17578.htm,"{'engineering', 'directorate engineering', 'area'}"
87,https://www.nsf.gov/pubs/2017/nsf17576/nsf17576.htm,"{'engineering', 'problem involving', 'cyber system', 'security'}"
88,https://www.nsf.gov/pubs/2017/nsf17575/nsf17575.htm,"{'engineering', 'computer information', 'experience new', 'directorate engineering', 'science technology', 'information science', 'graduate student', 'revolve around', 'science engineering', 'area', 'computer science'}"
89,https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm,"{'project develop', 'intelligent system'}"
90,https://www.nsf.gov/pubs/2017/nsf17569/nsf17569.htm,"{'national science', 'nih', 'statistic', 'national institute', 'biomedical', 'science foundation', 'health', 'foundation nsf', 'biomedical science', 'support interface'}"
91,https://www.nsf.gov/pubs/2017/nsf17568/nsf17568.htm,"{'national science', 'engineering', 'science foundation', 'professional development', 'industry', 'material', 'development', 'science engineering'}"
92,https://www.nsf.gov/pubs/2017/nsf17554/nsf17554.htm,"{'theoretical experimental', 'physic', 'wave propagation', 'material', 'composition', 'property', 'experimental study'}"
93,https://www.nsf.gov/pubs/2017/nsf17553/nsf17553.htm,"{'national science', 'united state', 'statistic', 'science foundation', 'discovery'}"
94,https://www.nsf.gov/pubs/2017/nsf17548/nsf17548.htm,"{'quantum computing', 'processing', 'information processing', 'physic'}"
95,https://www.nsf.gov/pubs/2017/nsf17541/nsf17541.htm,"{'national science', 'engineering', 'science foundation', 'including engineering', 'science technology', 'track', 'teaching', 'computer science'}"
96,https://www.nsf.gov/pubs/2017/nsf17532/nsf17532.htm,"{'engineering', 'engineering activity', 'science engineering', 'area', 'creating new'}"
97,https://www.nsf.gov/pubs/2017/nsf17530/nsf17530.htm,{'energy'}
98,https://www.nsf.gov/pubs/2017/nsf17525/nsf17525.htm,"{'national science', 'science foundation', 'professional development', 'material', 'development', 'foundation nsf', 'teaching', 'computer science'}"
99,https://www.nsf.gov/pubs/2017/nsf17519/nsf17519.htm,"{'engineering', 'broad spectrum', 'multidisciplinary approach', 'science engineering', 'area'}"
